Film,Award,Year of Release,IMDB Rating,Tomatometer Rating,Audience Rating,Meta Critic,Meta User
Black Panther,Nominee,2018,73,96,79,88,64
BlacKkKlansman,Nominee,2018,75,96,83,83,74
Bohemian Rhapsody,Nominee,2018,79,60,85,49,77
The Favourite,Nominee,2018,75,93,69,90,78
Roma,Nominee,2018,77,96,72,96,80
A Star Is Born,Nominee,2018,76,90,79,59,48
Vice,Nominee,2018,72,65,60,61,65
Parasite,Winner,2019,86,98,90,96,87
1917,Nominee,2019,83,88,88,78,84
Ford v Ferrari,Nominee,2019,81,92,98,81,83
The Irishman,Nominee,2019,78,96,86,94,81
Jojo Rabbit,Nominee,2019,79,80,94,58,79
Joker,Nominee,2019,84,68,88,59,90
Little Women,Nominee,2019,78,95,92,91,75
Marriage Story,Nominee,2019,79,94,85,94,84
Once Upon a Time in Hollywood,Nominee,2019,76,85,70,84,75
Nomadland,Winner,2020,74,93,82,93,72
The Father,Nominee,2020,83,98,92,88,86
Judas and the Black Messiah,Nominee,2020,75,97,95,85,74
Mank,Nominee,2020,69,83,59,79,63
Minari,Nominee,2020,75,98,87,89,80
Promising Young Woman,Nominee,2020,75,90,87,73,72
Sound of Metal,Nominee,2020,78,97,90,82,79
The Trial of the Chicago 7,Nominee,2020,78,89,90,76,75
DUMMY,Winner,2021,0,0,0,0,0
